2|2|27|1
6|3|8|2
87|4|5|3
88|6|7|3
7|9|24|2
445|10|11|3
446|12|19|3
916|13|14|4
917|15|16|4
918|17|18|4
447|20|21|3
448|22|23|3
8|25|26|2
3|28|1309|1
9|29|416|2
34|30|229|3
41|31|74|4
73|32|33|5
74|34|45|5
971|35|36|6
972|37|38|6
973|39|40|6
974|41|42|6
975|43|44|6
75|46|47|5
76|48|49|5
77|50|73|5
475|51|52|6
476|53|54|6
477|55|70|6
768|56|57|7
769|58|59|7
770|60|61|7
771|62|67|7
976|63|64|8
977|65|66|8
772|68|69|7
478|71|72|6
42|75|224|4
142|76|77|5
143|78|103|5
465|79|80|6
466|81|102|6
568|82|93|7
711|83|84|8
712|85|86|8
713|87|88|8
714|89|90|8
715|91|92|8
569|94|95|7
570|96|97|7
571|98|99|7
572|100|101|7
144|104|105|5
145|106|107|5
146|108|223|5
297|109|118|6
651|110|111|7
652|112|113|7
653|114|115|7
654|116|117|7
298|119|148|6
392|120|121|7
393|122|131|7
401|123|124|8
402|125|126|8
403|127|128|8
404|129|130|8
394|132|145|7
669|133|134|8
670|135|142|8
757|136|137|9
758|138|139|9
759|140|141|9
671|143|144|8
395|146|147|7
299|149|150|6
300|151|220|6
505|152|153|7
506|154|173|7
553|155|156|8
554|157|168|8
939|158|159|9
940|160|161|9
941|162|163|9
942|164|165|9
943|166|167|9
555|169|170|8
556|171|172|8
507|174|175|7
508|176|217|7
516|177|188|8
831|178|179|9
832|180|181|9
833|182|183|9
834|184|185|9
835|186|187|9
517|189|216|8
615|190|191|9
616|192|193|9
617|194|211|9
928|195|196|10
929|197|198|10
930|199|210|10
982|200|201|11
983|202|203|11
984|204|205|11
985|206|207|11
986|208|209|11
618|212|213|9
619|214|215|9
509|218|219|7
301|221|222|6
43|225|226|4
44|227|228|4
35|230|341|3
50|231|242|4
319|232|233|5
320|234|241|5
796|235|236|6
797|237|238|6
798|239|240|6
51|243|334|4
83|244|245|5
84|246|267|5
176|247|264|6
288|248|257|7
682|249|250|8
683|251|252|8
684|253|254|8
685|255|256|8
289|258|259|7
290|260|261|7
291|262|263|7
177|265|266|6
85|268|331|5
100|269|290|6
268|270|271|7
269|272|283|7
737|273|274|8
738|275|276|8
739|277|278|8
740|279|280|8
741|281|282|8
270|284|285|7
271|286|287|7
272|288|289|7
101|291|330|6
249|292|293|7
250|294|321|7
367|295|304|8
649|296|301|9
813|297|298|10
814|299|300|10
650|302|303|9
368|305|306|8
369|307|316|8
992|308|309|9
993|310|311|9
994|312|313|9
995|314|315|9
370|317|318|8
371|319|320|8
251|322|323|7
252|324|329|7
346|325|326|8
347|327|328|8
86|332|333|5
52|335|340|4
329|336|337|5
330|338|339|5
36|342|385|3
227|343|344|4
228|345|384|4
655|346|347|5
656|348|371|5
708|349|350|6
709|351|368|6
883|352|353|7
884|354|355|7
885|356|361|7
931|357|358|8
932|359|360|8
886|362|367|7
954|363|364|8
955|365|366|8
710|369|370|6
657|372|373|5
658|374|381|5
944|375|376|6
945|377|378|6
946|379|380|6
659|382|383|5
37|386|415|3
110|387|392|4
132|388|389|5
133|390|391|5
111|393|394|4
112|395|412|4
147|396|397|5
148|398|399|5
149|400|411|5
234|401|408|6
494|402|403|7
495|404|405|7
496|406|407|7
235|409|410|6
113|413|414|4
10|417|1006|2
13|418|419|3
14|420|593|3
58|421|584|4
78|422|423|5
79|424|429|5
566|425|426|6
567|427|428|6
80|430|431|5
81|432|513|5
97|433|438|6
210|434|435|7
211|436|437|7
98|439|440|6
99|441|512|6
166|442|443|7
167|444|455|7
222|445|446|8
223|447|448|8
224|449|450|8
225|451|452|8
226|453|454|8
168|456|507|7
396|457|458|8
397|459|460|8
398|461|462|8
399|463|464|8
400|465|506|8
407|466|481|9
664|467|468|10
665|469|470|10
666|471|472|10
667|473|478|10
777|474|475|11
778|476|477|11
668|479|480|10
408|482|483|9
409|484|503|9
703|485|486|10
704|487|488|10
705|489|498|10
978|490|491|11
979|492|493|11
