graph,query,run,runtime_ms
artificial_forests_40_dewey,02_insert_first_child_under_first_root,3,3.669
artificial_forests_40_dewey,02_insert_first_child_under_first_root,4,3.660
artificial_forests_40_dewey,02_insert_first_child_under_first_root,5,3.566
artificial_forests_40_dewey,03_insert_last_root,1,2.130
artificial_forests_40_dewey,03_insert_last_root,2,2.532
artificial_forests_40_dewey,03_insert_last_root,3,2.395
artificial_forests_40_dewey,03_insert_last_root,4,2.255
artificial_forests_40_dewey,03_insert_last_root,5,2.119
artificial_forests_40_dewey,04_insert_first_root,1,3.072
artificial_forests_40_dewey,04_insert_first_root,2,2.848
artificial_forests_40_dewey,04_insert_first_root,3,2.833
artificial_forests_40_dewey,04_insert_first_root,4,2.935
artificial_forests_40_dewey,04_insert_first_root,5,2.891
artificial_forests_40_prepost,01_insert_last_child_under_last_root,1,2.679
artificial_forests_40_prepost,01_insert_last_child_under_last_root,2,2.684
artificial_forests_40_prepost,01_insert_last_child_under_last_root,3,2.806
artificial_forests_40_prepost,01_insert_last_child_under_last_root,4,2.699
artificial_forests_40_prepost,01_insert_last_child_under_last_root,5,2.794
artificial_forests_40_prepost,02_insert_first_child_under_first_root,1,3.444
artificial_forests_40_prepost,02_insert_first_child_under_first_root,2,3.049
artificial_forests_40_prepost,02_insert_first_child_under_first_root,3,2.921
artificial_forests_40_prepost,02_insert_first_child_under_first_root,4,2.990
artificial_forests_40_prepost,02_insert_first_child_under_first_root,5,3.525
artificial_forests_40_prepost,03_insert_last_root,1,2.247
artificial_forests_40_prepost,03_insert_last_root,2,1.972
artificial_forests_40_prepost,03_insert_last_root,3,1.933
artificial_forests_40_prepost,03_insert_last_root,4,1.834
artificial_forests_40_prepost,03_insert_last_root,5,1.831
artificial_forests_40_prepost,04_insert_first_root,1,2.274
artificial_forests_40_prepost,04_insert_first_root,2,2.174
artificial_forests_40_prepost,04_insert_first_root,3,2.618
artificial_forests_40_prepost,04_insert_first_root,4,2.183
artificial_forests_40_prepost,04_insert_first_root,5,2.145
artificial_trees_truebase_100000_baseline,01_insert_last_child_under_last_root,1,35.335
artificial_trees_truebase_100000_baseline,01_insert_last_child_under_last_root,2,34.573
artificial_trees_truebase_100000_baseline,01_insert_last_child_under_last_root,3,34.796
artificial_trees_truebase_100000_baseline,01_insert_last_child_under_last_root,4,34.737
artificial_trees_truebase_100000_baseline,01_insert_last_child_under_last_root,5,34.672
artificial_trees_truebase_100000_baseline,02_insert_first_child_under_first_root,1,36.287
artificial_trees_truebase_100000_baseline,02_insert_first_child_under_first_root,2,35.799
artificial_trees_truebase_100000_baseline,02_insert_first_child_under_first_root,3,35.622
