Rank,Slowdown,Graph Name,Query Name,Annotation Method,Annotated Runtime (ms),Baseline Runtime (ms)
322,0.18319016657965922,ultratall_1000,all_descendants,dewey,3.86,21.071
323,0.18292618582810108,truebase_10000,all_leaves,prepost,10.401,56.859
324,0.1800080671775879,truebase_1000,all_leaves,prepost,4.909,27.271
325,0.1769074206502008,ultrawide_100000,count_descendants,dewey,28.944,163.611
326,0.1726464753752675,ultratall_10000,count_descendants,dewey,11.053,64.021
327,0.1598405391296094,ultratall_1000,all_descendants,prepost,3.368,21.071
328,0.14924481804574935,ultrawide_100000,all_leaves,prepost,39.486,264.572
329,0.13903976653913822,ultrawide_100000,all_descendants,dewey,39.831,286.472
330,0.1382404674596786,ultrawide_10000,all_descendants,prepost,4.637,33.543
331,0.12842817632607653,ultratall_100000,all_descendants,dewey,41.56,323.605
332,0.12482218500329607,truebase_100000,all_descendants,dewey,39.574,317.043
333,0.12359550561797752,s3,count_descendants,prepost,0.88,7.12
334,0.1212823483970645,ultratall_10000,count_leaves,prepost,9.734,80.259
335,0.11835645932199348,truebase_100000,all_leaves,prepost,34.742,293.537
336,0.11794870004747411,ultrawide_100000,all_descendants,prepost,33.789,286.472
337,0.115358185878715,truebase_10,count_descendants,prepost,1.343,11.642
338,0.1131564323423173,artificial_forest_1000,count_descendants,prepost,1.629,14.396
339,0.11246859024347977,artificial_forest_40,count_descendants,prepost,1.298,11.541
340,0.11245162328138454,truebase_100000,all_descendants,prepost,35.652,317.043
341,0.10855376159395397,ultratall_10,count_descendants,prepost,1.264,11.644
342,0.10685647837687445,ultratall_100000,count_descendants,dewey,29.957,280.348
343,0.10599290087647756,ultratall_10000,all_descendants,dewey,9.227,87.053
344,0.09954855088279554,ultratall_10000,all_descendants,prepost,8.666,87.053
345,0.09698333193989467,truebase_100000,count_descendants,dewey,25.52,263.138
346,0.09578207381370826,s_all_tagclass,count_descendants,prepost,1.199,12.518
347,0.09308361391694725,s_all_place,count_descendants,prepost,1.327,14.256
348,0.09144371015167838,ultratall_10000,all_leaves,prepost,6.282,68.698
349,0.08928409400235912,truebase_100,count_descendants,prepost,0.984,11.021
350,0.0887644643523703,ultratall_100,count_descendants,prepost,1.189,13.395
351,0.08734207015616416,ultrawide_100,count_descendants,prepost,1.113,12.743
352,0.08667955863951769,s_all_comment,count_descendants,prepost,0.762,8.791
353,0.08430305990131524,ultrawide_100000,count_leaves,prepost,20.024,237.524
354,0.08350580781414994,truebase_100,check_if_ancestor_false,dewey,1.977,23.675
355,0.08057044854065913,ultratall_100000,all_descendants,prepost,26.073,323.605
356,0.08041796177501488,s2,count_descendants,prepost,1.216,15.121
357,0.07890482925843605,s1,count_descendants,prepost,0.781,9.898
358,0.07330714712663308,ultrawide_10,check_if_ancestor_false,dewey,1.717,23.422
359,0.0724231721674177,truebase_100,check_if_ancestor_true,dewey,1.784,24.633
360,0.0717742958831598,ultratall_100000,all_leaves,prepost,23.756,330.982
361,0.07129883843717001,truebase_100,check_if_ancestor_false,prepost,1.688,23.675
362,0.06655264723378941,truebase_100000,count_leaves,prepost,17.9,268.96
363,0.06322278505208831,ultratall_1000,count_descendants,prepost,1.323,20.926
364,0.06306037059175135,ultrawide_10,check_if_ancestor_false,prepost,1.477,23.422
365,0.06288781984243184,ultrawide_1000,count_descendants,prepost,0.902,14.343
366,0.061606894634417576,truebase_1000,count_descendants,prepost,1.108,17.985
367,0.05862407059400278,truebase_10000,check_if_ancestor_false,dewey,1.435,24.478
368,0.05719421521366124,truebase_10000,check_if_ancestor_false,prepost,1.4,24.478
369,0.05210237659963437,artificial_forest_1000,check_if_ancestor_false,dewey,2.28,43.76
370,0.05200341005967604,truebase_100,check_if_ancestor_true,prepost,1.281,24.633
371,0.0500284656988329,ultratall_1000,check_if_ancestor_false,dewey,1.406,28.104
372,0.0494924149996547,s_all_tagclass,check_if_ancestor_false,dewey,2.15,43.441
373,0.048035866780529464,ultratall_1000,check_if_ancestor_false,prepost,1.35,28.104
374,0.04661422807883203,truebase_100000,check_if_ancestor_false,dewey,1.606,34.453
375,0.045829514207149404,artificial_forest_40,check_if_ancestor_false,prepost,1.45,31.639
376,0.04569738380758031,truebase_10,check_if_ancestor_true,dewey,1.993,43.613
377,0.04522661338354243,artificial_forest_1000,check_if_ancestor_true,dewey,2.354,52.049
378,0.04516803492912708,ultratall_1000,check_if_ancestor_true,dewey,1.469,32.523
379,0.045165776415183795,artificial_forest_40,check_if_ancestor_false,dewey,1.429,31.639
380,0.04399686695759203,s1,check_if_ancestor_true,dewey,1.966,44.685
381,0.04277807921866522,ultrawide_100,check_if_ancestor_false,dewey,1.971,46.075
382,0.0426837637001745,s_all_comment,check_if_ancestor_true,dewey,2.177,51.003
383,0.04246364612660726,truebase_100000,check_if_ancestor_false,prepost,1.463,34.453
384,0.04215094894806532,truebase_10,check_if_ancestor_false,dewey,2.292,54.376
385,0.04200396572738353,artificial_forest_40,check_if_ancestor_true,dewey,2.309,54.971
386,0.041887495888007595,s_all_place,check_if_ancestor_false,dewey,2.292,54.718
387,0.041867413632119516,ultrawide_10000,count_descendants,prepost,1.121,26.775
388,0.041400442208255714,ultrawide_10000,check_if_ancestor_false,dewey,2.378,57.439
389,0.040937771564589866,s2,check_if_ancestor_true,dewey,2.167,52.934
390,0.040868068037765125,s2,check_if_ancestor_false,dewey,2.16,52.853
391,0.04065908013276435,s_all_comment,check_if_ancestor_false,dewey,1.372,33.744
392,0.04061740921809181,ultratall_1000,check_if_ancestor_true,prepost,1.321,32.523
393,0.040599892876272095,ultrawide_100,check_if_ancestor_true,dewey,2.274,56.01
394,0.04024177445178003,s1,check_if_ancestor_false,dewey,2.237,55.589
395,0.04015226170463548,ultrawide_10000,check_if_ancestor_true,dewey,2.078,51.753
396,0.0400773462857669,s_all_tagclass,check_if_ancestor_false,prepost,1.741,43.441
397,0.04006901840490797,s3,check_if_ancestor_false,dewey,2.299,57.376
398,0.03960537603660281,ultrawide_1000,check_if_ancestor_false,dewey,2.216,55.952
399,0.03869777536625067,ultrawide_100,check_if_ancestor_false,prepost,1.783,46.075
400,0.03868605749763801,ultratall_10000,check_if_ancestor_false,dewey,2.293,59.272
401,0.038570881854463945,ultratall_100000,check_if_ancestor_true,dewey,1.411,36.582
402,0.03845586910591742,ultrawide_100000,check_if_ancestor_true,dewey,2.348,61.057
403,0.03837976949759427,s1,check_if_ancestor_true,prepost,1.715,44.685
404,0.03828828828828829,s_all_comment,check_if_ancestor_false,prepost,1.292,33.744
405,0.038256370338148764,ultratall_100000,check_if_ancestor_false,dewey,1.671,43.679
406,0.03822874436133158,truebase_10000,count_descendants,prepost,1.339,35.026
407,0.037794910439974495,ultrawide_10000,check_if_ancestor_true,prepost,1.956,51.753
408,0.03771534692587324,truebase_10000,check_if_ancestor_true,prepost,1.909,50.616
