Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultratall_100000,all_descendants,baseline,323.605
ultratall_100000,all_descendants,dewey,41.56
ultratall_100000,all_descendants,prepost,26.073
ultratall_100000,all_children,baseline,6.711
ultratall_100000,all_children,dewey,16.118
ultratall_100000,all_children,prepost,16.149
ultratall_100000,all_leaves,baseline,330.982
ultratall_100000,all_leaves,dewey,83.027
ultratall_100000,all_leaves,prepost,23.756
ultratall_100000,count_descendants,baseline,280.348
ultratall_100000,count_descendants,dewey,29.957
ultratall_100000,count_descendants,prepost,0.831
ultratall_100000,count_leaves,baseline,285.624
ultratall_100000,count_leaves,dewey,71.759
ultratall_100000,count_leaves,prepost,10.321
ultratall_100000,check_same_subtree_true,baseline,25.633
ultratall_100000,check_same_subtree_true,dewey,20.061
ultratall_100000,check_same_subtree_true,prepost,30.67
ultratall_100000,all_ancestors,baseline,11.198
ultratall_100000,all_ancestors,dewey,34.34
ultratall_100000,all_ancestors,prepost,17.056
ultratall_100000,check_if_ancestor_true,baseline,36.582
ultratall_100000,check_if_ancestor_true,dewey,1.411
ultratall_100000,check_if_ancestor_true,prepost,1.223
ultratall_100000,check_same_subtree_false,baseline,16.566
ultratall_100000,check_same_subtree_false,dewey,16.332
ultratall_100000,check_same_subtree_false,prepost,32.996
ultratall_100000,check_if_ancestor_false,baseline,43.679
ultratall_100000,check_if_ancestor_false,dewey,1.671
ultratall_100000,check_if_ancestor_false,prepost,1.332
truebase_10,all_descendants,baseline,5.85
truebase_10,all_descendants,dewey,3.56
truebase_10,all_descendants,prepost,3.065
truebase_10,all_children,baseline,3.665
truebase_10,all_children,dewey,4.627
truebase_10,all_children,prepost,5.623
truebase_10,all_leaves,baseline,17.272
truebase_10,all_leaves,dewey,12.216
truebase_10,all_leaves,prepost,6.442
truebase_10,count_descendants,baseline,11.642
truebase_10,count_descendants,dewey,8.778
truebase_10,count_descendants,prepost,1.343
truebase_10,count_leaves,baseline,16.749
truebase_10,count_leaves,dewey,15.73
truebase_10,count_leaves,prepost,12.32
truebase_10,check_same_subtree_true,baseline,21.624
truebase_10,check_same_subtree_true,dewey,11.949
truebase_10,check_same_subtree_true,prepost,6.853
truebase_10,all_ancestors,baseline,12.281
truebase_10,all_ancestors,dewey,6.611
truebase_10,all_ancestors,prepost,7.12
truebase_10,check_if_ancestor_true,baseline,43.613
truebase_10,check_if_ancestor_true,dewey,1.993
truebase_10,check_if_ancestor_true,prepost,1.482
truebase_10,check_same_subtree_false,baseline,20.271
truebase_10,check_same_subtree_false,dewey,13.838
truebase_10,check_same_subtree_false,prepost,8.201
truebase_10,check_if_ancestor_false,baseline,54.376
truebase_10,check_if_ancestor_false,dewey,2.292
truebase_10,check_if_ancestor_false,prepost,1.633
ultrawide_100,all_descendants,baseline,4.384
ultrawide_100,all_descendants,dewey,1.799
ultrawide_100,all_descendants,prepost,2.016
ultrawide_100,all_children,baseline,2.215
ultrawide_100,all_children,dewey,1.916
ultrawide_100,all_children,prepost,2.025
ultrawide_100,all_leaves,baseline,5.986
ultrawide_100,all_leaves,dewey,6.657
ultrawide_100,all_leaves,prepost,4.215
ultrawide_100,count_descendants,baseline,12.743
ultrawide_100,count_descendants,dewey,8.264
ultrawide_100,count_descendants,prepost,1.113
ultrawide_100,count_leaves,baseline,17.556
ultrawide_100,count_leaves,dewey,15.279
ultrawide_100,count_leaves,prepost,13.312
ultrawide_100,check_same_subtree_true,baseline,22.433
ultrawide_100,check_same_subtree_true,dewey,15.093
ultrawide_100,check_same_subtree_true,prepost,7.569
ultrawide_100,all_ancestors,baseline,11.844
ultrawide_100,all_ancestors,dewey,6.426
ultrawide_100,all_ancestors,prepost,6.674
ultrawide_100,check_if_ancestor_true,baseline,56.01
ultrawide_100,check_if_ancestor_true,dewey,2.274
ultrawide_100,check_if_ancestor_true,prepost,1.862
ultrawide_100,check_same_subtree_false,baseline,22.65
ultrawide_100,check_same_subtree_false,dewey,13.657
ultrawide_100,check_same_subtree_false,prepost,7.921
ultrawide_100,check_if_ancestor_false,baseline,46.075
ultrawide_100,check_if_ancestor_false,dewey,1.971
ultrawide_100,check_if_ancestor_false,prepost,1.783
