graph,query,scenario,run,runtime_ms
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,1,12.351
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,2,1.841
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,3,2.185
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,4,2.101
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,5,1.807
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,1,10.535
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,2,1.826
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,3,1.795
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,4,1.960
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,5,1.831
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,1,67.225
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,2,1.536
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,3,1.305
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,4,1.359
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,5,1.384
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,1,35.207
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,2,1.067
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,3,0.963
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,4,0.957
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,5,0.988
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,1,37.240
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,2,1.269
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,3,1.096
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,4,1.038
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,5,1.103
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,1,11.553
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,2,1.879
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,3,1.225
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,4,1.175
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,5,1.112
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,1,7.319
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,2,1.098
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,3,1.878
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,4,1.042
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,5,1.008
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,1,8.891
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,2,1.255
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,3,1.163
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,4,2.220
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,5,1.143
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,1,121.390
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,2,58.822
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,3,51.096
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,4,43.081
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,5,273.840
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,1,79.966
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,2,43.786
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,3,45.340
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,4,44.074
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,5,45.133
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,1,90.805
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,2,46.768
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,3,47.297
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,4,46.728
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,5,46.479
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,1,10.402
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,2,2.276
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,3,2.180
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,4,2.171
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,5,2.150
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,1,13.229
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,2,2.440
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,3,2.334
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,4,2.336
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,5,2.340
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,1,11.743
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,2,2.475
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,3,2.411
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,4,2.385
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,5,2.650
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,1,56.224
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,2,1.079
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,3,1.060
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,4,0.960
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,5,0.928
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,1,31.785
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,2,0.965
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,3,0.805
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,4,0.736
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,5,0.733
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,1,36.418
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,2,1.415
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,3,1.127
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,4,1.114
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,5,1.083
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,1,57.870
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,2,1.278
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,3,1.260
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,4,1.318
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,5,1.322
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,1,10.905
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,2,1.283
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,3,1.281
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,4,1.226
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,5,1.288
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,1,10.059
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,2,1.592
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,3,1.324
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,4,1.249
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,5,1.257
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,1,475.127
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,2,407.507
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,3,379.203
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,4,414.300
artificial_trees_ultrawide_10000_baseline,01_all_descendants,q01_q02,5,379.258
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,1,487.064
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,2,499.411
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,3,442.713
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,4,486.496
artificial_trees_ultrawide_10000_dewey,01_all_descendants,q01_q02,5,438.834
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,1,550.165
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,2,503.709
artificial_trees_ultrawide_10000_prepost,01_all_descendants,q01_q02,3,463.230
