graph,query,scenario,run,runtime_ms
artificial_forests_1000_prepost,01_all_descendants,q04,4,1.828
artificial_forests_1000_prepost,01_all_descendants,q04,5,1.754
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,1,9.631
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,2,9.479
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,3,9.065
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,4,9.267
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,5,9.209
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,1,1.655
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,2,1.330
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,3,1.374
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,4,1.332
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,5,1.216
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,1,1.525
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,2,1.379
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,3,1.317
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,4,1.333
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,5,1.334
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,1,8.801
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,2,9.261
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,3,9.534
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,4,9.283
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,5,8.592
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,1,1.184
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,2,1.409
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,3,1.319
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,4,1.348
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,5,1.218
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,1,1.356
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,2,1.340
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,3,1.349
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,4,1.203
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,5,1.352
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,1,20.695
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,2,20.072
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,3,20.089
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,4,20.056
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,5,19.788
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,1,1.724
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,2,1.553
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,3,1.577
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,4,1.474
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,5,1.493
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,1,1.658
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,2,1.543
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,3,1.349
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,4,1.516
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,5,1.395
artificial_trees_truebase_100_baseline,01_all_descendants,q03,1,9.740
artificial_trees_truebase_100_baseline,01_all_descendants,q03,2,9.904
artificial_trees_truebase_100_baseline,01_all_descendants,q03,3,9.863
artificial_trees_truebase_100_baseline,01_all_descendants,q03,4,9.567
artificial_trees_truebase_100_baseline,01_all_descendants,q03,5,9.867
artificial_trees_truebase_100_dewey,01_all_descendants,q03,1,1.380
artificial_trees_truebase_100_dewey,01_all_descendants,q03,2,1.456
artificial_trees_truebase_100_dewey,01_all_descendants,q03,3,1.482
artificial_trees_truebase_100_dewey,01_all_descendants,q03,4,1.472
artificial_trees_truebase_100_dewey,01_all_descendants,q03,5,1.458
artificial_trees_truebase_100_prepost,01_all_descendants,q03,1,1.272
artificial_trees_truebase_100_prepost,01_all_descendants,q03,2,1.531
artificial_trees_truebase_100_prepost,01_all_descendants,q03,3,1.411
artificial_trees_truebase_100_prepost,01_all_descendants,q03,4,1.476
artificial_trees_truebase_100_prepost,01_all_descendants,q03,5,1.281
artificial_trees_truebase_100_baseline,01_all_descendants,q04,1,8.816
artificial_trees_truebase_100_baseline,01_all_descendants,q04,2,8.941
artificial_trees_truebase_100_baseline,01_all_descendants,q04,3,8.818
artificial_trees_truebase_100_baseline,01_all_descendants,q04,4,8.798
artificial_trees_truebase_100_baseline,01_all_descendants,q04,5,8.806
artificial_trees_truebase_100_dewey,01_all_descendants,q04,1,1.369
artificial_trees_truebase_100_dewey,01_all_descendants,q04,2,1.473
artificial_trees_truebase_100_dewey,01_all_descendants,q04,3,1.445
artificial_trees_truebase_100_dewey,01_all_descendants,q04,4,1.454
artificial_trees_truebase_100_dewey,01_all_descendants,q04,5,1.438
artificial_trees_truebase_100_prepost,01_all_descendants,q04,1,1.296
artificial_trees_truebase_100_prepost,01_all_descendants,q04,2,1.452
artificial_trees_truebase_100_prepost,01_all_descendants,q04,3,1.427
artificial_trees_truebase_100_prepost,01_all_descendants,q04,4,1.320
artificial_trees_truebase_100_prepost,01_all_descendants,q04,5,1.430
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,1,1119.034
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,2,1106.478
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,3,1108.579
