graph,query,scenario,run,runtime_ms
artificial_forests_1000_prepost,01_all_descendants,q04,4,1.723
artificial_forests_1000_prepost,01_all_descendants,q04,5,1.876
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,1,35.483
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,2,2.185
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,3,2.426
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,4,2.044
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,5,2.002
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,1,36.072
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,2,2.679
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,3,2.128
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,4,2.091
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,5,2.121
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,1,31.512
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,2,2.702
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,3,2.275
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,4,2.192
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,5,2.201
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,1,7.049
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,2,1.458
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,3,1.430
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,4,1.417
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,5,1.401
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,1,8.596
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,2,2.097
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,3,1.718
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,4,1.691
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,5,1.516
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,1,7.630
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,2,1.628
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,3,1.938
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,4,1.580
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,5,1.578
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,1,38.423
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,2,11.148
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,3,11.424
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,4,11.480
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,5,11.500
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,1,59.814
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,2,13.349
