Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultratall_100000,all_descendants,baseline,323.967
ultratall_100000,all_descendants,dewey,38.151
ultratall_100000,all_descendants,prepost,35.159
ultratall_100000,all_children,baseline,6.652
ultratall_100000,all_children,dewey,22.147
ultratall_100000,all_children,prepost,18.243
ultratall_100000,all_leaves,baseline,325.391
ultratall_100000,all_leaves,dewey,70.621
ultratall_100000,all_leaves,prepost,27.699
ultratall_100000,count_descendants,baseline,279.416
ultratall_100000,count_descendants,dewey,26.319
ultratall_100000,count_descendants,prepost,1.212
ultratall_100000,count_leaves,baseline,295.568
ultratall_100000,count_leaves,dewey,80.634
ultratall_100000,count_leaves,prepost,13.778
ultratall_100000,check_same_subtree_true,baseline,24.457
ultratall_100000,check_same_subtree_true,dewey,18.529
ultratall_100000,check_same_subtree_true,prepost,39.64
ultratall_100000,all_ancestors,baseline,16.975
ultratall_100000,all_ancestors,dewey,30.322
ultratall_100000,all_ancestors,prepost,20.354
ultratall_100000,check_if_ancestor_true,baseline,61.784
ultratall_100000,check_if_ancestor_true,dewey,2.101
ultratall_100000,check_if_ancestor_true,prepost,1.825
ultratall_100000,check_same_subtree_false,baseline,25.56
ultratall_100000,check_same_subtree_false,dewey,18.581
ultratall_100000,check_same_subtree_false,prepost,37.763
ultratall_100000,check_if_ancestor_false,baseline,61.194
ultratall_100000,check_if_ancestor_false,dewey,2.363
ultratall_100000,check_if_ancestor_false,prepost,1.932
truebase_10,all_descendants,baseline,3.686
truebase_10,all_descendants,dewey,1.908
truebase_10,all_descendants,prepost,2.915
truebase_10,all_children,baseline,4.699
truebase_10,all_children,dewey,3.825
truebase_10,all_children,prepost,7.334
truebase_10,all_leaves,baseline,12.114
truebase_10,all_leaves,dewey,7.109
truebase_10,all_leaves,prepost,7.412
truebase_10,count_descendants,baseline,12.678
truebase_10,count_descendants,dewey,9.745
truebase_10,count_descendants,prepost,1.325
truebase_10,count_leaves,baseline,17.362
truebase_10,count_leaves,dewey,15.155
truebase_10,count_leaves,prepost,12.181
truebase_10,check_same_subtree_true,baseline,20.195
truebase_10,check_same_subtree_true,dewey,13.685
truebase_10,check_same_subtree_true,prepost,7.981
truebase_10,all_ancestors,baseline,12.821
truebase_10,all_ancestors,dewey,6.323
truebase_10,all_ancestors,prepost,6.625
truebase_10,check_if_ancestor_true,baseline,53.544
truebase_10,check_if_ancestor_true,dewey,2.355
truebase_10,check_if_ancestor_true,prepost,1.695
truebase_10,check_same_subtree_false,baseline,20.96
truebase_10,check_same_subtree_false,dewey,13.852
truebase_10,check_same_subtree_false,prepost,8.065
truebase_10,check_if_ancestor_false,baseline,59.419
truebase_10,check_if_ancestor_false,dewey,2.026
truebase_10,check_if_ancestor_false,prepost,1.776
ultrawide_100,all_descendants,baseline,3.482
ultrawide_100,all_descendants,dewey,2.093
ultrawide_100,all_descendants,prepost,2.123
ultrawide_100,all_children,baseline,1.936
ultrawide_100,all_children,dewey,2.758
ultrawide_100,all_children,prepost,3.087
ultrawide_100,all_leaves,baseline,9.36
ultrawide_100,all_leaves,dewey,9.468
ultrawide_100,all_leaves,prepost,4.811
ultrawide_100,count_descendants,baseline,6.259
ultrawide_100,count_descendants,dewey,4.33
ultrawide_100,count_descendants,prepost,1.154
ultrawide_100,count_leaves,baseline,18.369
ultrawide_100,count_leaves,dewey,14.7
ultrawide_100,count_leaves,prepost,11.983
ultrawide_100,check_same_subtree_true,baseline,19.425
ultrawide_100,check_same_subtree_true,dewey,13.128
ultrawide_100,check_same_subtree_true,prepost,7.857
ultrawide_100,all_ancestors,baseline,12.327
ultrawide_100,all_ancestors,dewey,7.201
ultrawide_100,all_ancestors,prepost,6.415
ultrawide_100,check_if_ancestor_true,baseline,56.16
ultrawide_100,check_if_ancestor_true,dewey,2.091
ultrawide_100,check_if_ancestor_true,prepost,1.848
ultrawide_100,check_same_subtree_false,baseline,20.43
ultrawide_100,check_same_subtree_false,dewey,14.871
ultrawide_100,check_same_subtree_false,prepost,8.326
ultrawide_100,check_if_ancestor_false,baseline,56.283
ultrawide_100,check_if_ancestor_false,dewey,2.23
ultrawide_100,check_if_ancestor_false,prepost,1.899
ultrawide_1000,all_descendants,baseline,10.751
ultrawide_1000,all_descendants,dewey,2.865
ultrawide_1000,all_descendants,prepost,3.534
ultrawide_1000,all_children,baseline,4.898
ultrawide_1000,all_children,dewey,4.157
ultrawide_1000,all_children,prepost,6.253
ultrawide_1000,all_leaves,baseline,26.976
ultrawide_1000,all_leaves,dewey,9.455
ultrawide_1000,all_leaves,prepost,7.086
ultrawide_1000,count_descendants,baseline,16.189
ultrawide_1000,count_descendants,dewey,11.074
ultrawide_1000,count_descendants,prepost,1.235
ultrawide_1000,count_leaves,baseline,22.704
ultrawide_1000,count_leaves,dewey,15.926
ultrawide_1000,count_leaves,prepost,11.587
ultrawide_1000,check_same_subtree_true,baseline,23.637
ultrawide_1000,check_same_subtree_true,dewey,15.194
ultrawide_1000,check_same_subtree_true,prepost,9.013
ultrawide_1000,all_ancestors,baseline,16.694
ultrawide_1000,all_ancestors,dewey,6.542
ultrawide_1000,all_ancestors,prepost,6.325
ultrawide_1000,check_if_ancestor_true,baseline,58.446
ultrawide_1000,check_if_ancestor_true,dewey,2.154
ultrawide_1000,check_if_ancestor_true,prepost,1.869
