Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
ultratall_100000,all_descendants,baseline,3812.147
ultratall_100000,all_descendants,dewey,4520.839
ultratall_100000,all_descendants,prepost,4443.541
ultratall_100000,all_children,baseline,1.889
ultratall_100000,all_children,dewey,29.621
ultratall_100000,all_children,prepost,25.544
ultratall_100000,all_leaves,baseline,1719.503
ultratall_100000,all_leaves,dewey,1969.393
ultratall_100000,all_leaves,prepost,3341.279
ultratall_100000,count_descendants,baseline,75.851
ultratall_100000,count_descendants,dewey,14.177
ultratall_100000,count_descendants,prepost,10.226
ultratall_100000,count_leaves,baseline,135.003
ultratall_100000,count_leaves,dewey,84.872
ultratall_100000,count_leaves,prepost,31.063
ultratall_100000,check_same_subtree_true,baseline,2.243
ultratall_100000,check_same_subtree_true,dewey,2.2
ultratall_100000,check_same_subtree_true,prepost,2.365
ultratall_100000,all_ancestors,baseline,4.316
ultratall_100000,all_ancestors,dewey,14.592
ultratall_100000,all_ancestors,prepost,21.229
ultratall_100000,check_if_ancestor_true,baseline,1.697
ultratall_100000,check_if_ancestor_true,dewey,1.477
ultratall_100000,check_if_ancestor_true,prepost,1.93
ultratall_100000,check_same_subtree_false,baseline,2.33
ultratall_100000,check_same_subtree_false,dewey,2.48
ultratall_100000,check_same_subtree_false,prepost,2.098
ultratall_100000,check_if_ancestor_false,baseline,2.364
ultratall_100000,check_if_ancestor_false,dewey,1.949
ultratall_100000,check_if_ancestor_false,prepost,1.997
truebase_10,all_descendants,baseline,1.954
truebase_10,all_descendants,dewey,1.611
truebase_10,all_descendants,prepost,1.887
truebase_10,all_children,baseline,1.467
truebase_10,all_children,dewey,1.328
truebase_10,all_children,prepost,1.369
truebase_10,all_leaves,baseline,1.467
truebase_10,all_leaves,dewey,1.346
truebase_10,all_leaves,prepost,1.0
truebase_10,count_descendants,baseline,1.144
truebase_10,count_descendants,dewey,1.397
truebase_10,count_descendants,prepost,1.092
truebase_10,count_leaves,baseline,1.681
truebase_10,count_leaves,dewey,1.816
truebase_10,count_leaves,prepost,1.24
truebase_10,check_same_subtree_true,baseline,1.318
truebase_10,check_same_subtree_true,dewey,0.953
truebase_10,check_same_subtree_true,prepost,1.059
truebase_10,all_ancestors,baseline,1.778
truebase_10,all_ancestors,dewey,1.909
truebase_10,all_ancestors,prepost,1.734
truebase_10,check_if_ancestor_true,baseline,2.194
truebase_10,check_if_ancestor_true,dewey,1.769
truebase_10,check_if_ancestor_true,prepost,1.468
truebase_10,check_same_subtree_false,baseline,1.393
truebase_10,check_same_subtree_false,dewey,1.326
truebase_10,check_same_subtree_false,prepost,1.339
truebase_10,check_if_ancestor_false,baseline,2.051
truebase_10,check_if_ancestor_false,dewey,2.039
truebase_10,check_if_ancestor_false,prepost,1.858
ultrawide_100,all_descendants,baseline,6.78
ultrawide_100,all_descendants,dewey,9.236
ultrawide_100,all_descendants,prepost,7.268
ultrawide_100,all_children,baseline,1.333
ultrawide_100,all_children,dewey,1.305
ultrawide_100,all_children,prepost,1.123
ultrawide_100,all_leaves,baseline,5.619
ultrawide_100,all_leaves,dewey,5.814
ultrawide_100,all_leaves,prepost,5.23
ultrawide_100,count_descendants,baseline,1.061
ultrawide_100,count_descendants,dewey,1.007
ultrawide_100,count_descendants,prepost,0.821
ultrawide_100,count_leaves,baseline,1.611
ultrawide_100,count_leaves,dewey,1.437
ultrawide_100,count_leaves,prepost,1.203
ultrawide_100,check_same_subtree_true,baseline,1.296
ultrawide_100,check_same_subtree_true,dewey,1.069
ultrawide_100,check_same_subtree_true,prepost,1.034
ultrawide_100,all_ancestors,baseline,2.503
ultrawide_100,all_ancestors,dewey,2.312
ultrawide_100,all_ancestors,prepost,2.35
ultrawide_100,check_if_ancestor_true,baseline,1.722
ultrawide_100,check_if_ancestor_true,dewey,1.44
ultrawide_100,check_if_ancestor_true,prepost,1.374
ultrawide_100,check_same_subtree_false,baseline,0.996
ultrawide_100,check_same_subtree_false,dewey,0.868
ultrawide_100,check_same_subtree_false,prepost,1.274
ultrawide_100,check_if_ancestor_false,baseline,0.803
ultrawide_100,check_if_ancestor_false,dewey,0.667
ultrawide_100,check_if_ancestor_false,prepost,0.665
ultrawide_1000,all_descendants,baseline,33.132
ultrawide_1000,all_descendants,dewey,38.141
ultrawide_1000,all_descendants,prepost,39.253
ultrawide_1000,all_children,baseline,1.977
ultrawide_1000,all_children,dewey,3.127
ultrawide_1000,all_children,prepost,2.842
ultrawide_1000,all_leaves,baseline,30.167
ultrawide_1000,all_leaves,dewey,33.489
ultrawide_1000,all_leaves,prepost,34.465
ultrawide_1000,count_descendants,baseline,2.297
ultrawide_1000,count_descendants,dewey,1.436
