Rank,Slowdown,Graph Name,Query Name,Annotation Method,Annotated Runtime (ms),Baseline Runtime (ms)
445,0.376558091818415,truebase_10000,count_leaves,prepost,7.341,19.495
446,0.37640449438202245,s_all_place,check_same_subtree_false,prepost,0.737,1.958
447,0.35876300713200043,ultratall_10000,count_leaves,prepost,6.137,17.106
448,0.3437180796731359,s_all_place,check_same_subtree_false,dewey,0.673,1.958
449,0.3320840801694639,truebase_10000,count_descendants,prepost,2.038,6.137
450,0.3274898863417453,ultrawide_10000,count_leaves,prepost,5.1,15.573
451,0.326540633439725,ultrawide_10000,count_descendants,prepost,2.66,8.146
452,0.30433730121141317,ultrawide_100000,count_leaves,prepost,28.916,95.013
453,0.2688602354564664,truebase_100000,count_leaves,prepost,31.173,115.945
454,0.24492811368994255,truebase_100000,count_descendants,dewey,14.753,60.234
455,0.2300911831588928,ultratall_100000,count_leaves,prepost,31.063,135.003
456,0.22053613604156827,ultrawide_100000,count_descendants,dewey,11.205,50.808
457,0.19969296173830894,ultrawide_100000,count_descendants,prepost,10.146,50.808
458,0.18690590763470488,ultratall_100000,count_descendants,dewey,14.177,75.851
459,0.16784540292857852,truebase_100000,count_descendants,prepost,10.11,60.234
460,0.13481694374497372,ultratall_100000,count_descendants,prepost,10.226,75.851
