graph,query,scenario,run,runtime_ms
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,1,2.015
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,2,1.546
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,3,1.489
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,4,1.837
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,5,1.808
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,1,1.744
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,2,1.724
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,3,1.718
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,4,1.711
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,5,1.750
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,1,11.968
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,2,12.225
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,3,11.364
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,4,11.224
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,5,11.211
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,1,11.087
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,2,11.057
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,3,11.169
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,4,11.146
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,5,11.062
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,1,1.706
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,2,1.637
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,3,1.588
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,4,1.748
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,5,1.791
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,1,1.497
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,2,1.481
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,3,1.415
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,4,1.473
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,5,1.470
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,1,1.602
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,2,1.553
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,3,1.685
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,4,1.542
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,5,1.837
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,1,1.524
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,2,1.465
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,3,1.449
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,4,1.508
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,5,1.417
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,1,1152.690
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,2,1152.546
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,3,1151.280
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,4,1150.476
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q01_q02,5,1152.918
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,1,22.007
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,2,22.513
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,3,21.868
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,4,21.740
artificial_trees_ultrawide_1000_baseline,01_all_descendants,q04,5,17.994
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,1,2.400
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,2,2.994
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,3,2.741
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,4,2.559
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q01_q02,5,2.632
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,1,2.338
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,2,2.119
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,3,2.096
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,4,2.426
artificial_trees_ultrawide_1000_dewey,01_all_descendants,q04,5,2.260
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,1,3.133
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,2,2.797
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,3,2.678
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,4,2.736
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q01_q02,5,2.716
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,1,1.758
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,2,1.735
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,3,1.720
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,4,1.756
artificial_trees_ultrawide_1000_prepost,01_all_descendants,q04,5,1.738
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,1,12.688
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,2,10.857
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,3,10.221
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,4,12.728
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q07,5,12.728
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,1,12.143
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,2,12.110
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,3,11.993
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,4,12.054
artificial_trees_ultrawide_1000_baseline,11_check_if_ancestor,q08,5,11.880
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,1,1.753
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,2,1.615
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,3,1.564
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,4,1.542
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q07,5,1.548
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,1,1.531
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,2,1.546
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,3,1.591
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,4,1.541
artificial_trees_ultrawide_1000_dewey,11_check_if_ancestor,q08,5,1.544
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,1,1.677
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,2,1.588
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,3,1.534
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,4,1.457
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q07,5,1.519
artificial_trees_ultrawide_1000_prepost,11_check_if_ancestor,q08,1,1.192
